moyr,site_num,latitude,longitude,tmpf
2014-01,ARR,41.77,-88.48,14.44518668012109
2014-01,BUU,42.6907,-88.3046,10.81613339342046
2014-01,C09,41.4253,-88.4186,16.27781365313653
2014-01,DPA,41.9078,-88.2486,16.61821025195482
2014-01,ENW,42.595,-87.9381,16.572037914691943
2014-01,GYY,41.6163,-87.4128,20.645409691629958
2014-01,IGQ,41.5349,-87.5295,16.51878597122302
2014-01,IKK,41.0714,-87.8463,16.887526978417267
2014-01,JOT,41.5177,-88.1756,15.918352835283528
2014-01,LOT,41.6081,-88.0962,15.942239488117002
2014-01,MDW,41.786,-87.7524,18.69966535433071
2014-01,MGC,41.7033,-86.8212,18.297775760326825
2014-01,MKE,42.9472,-87.8967,16.196106719367588
2014-01,MWC,43.1104,-88.0344,12.371367215461703
2014-01,ORD,41.9875,-87.9319,18.08419503219871
2014-01,PPO,41.5725,-86.7345,15.60774193548387
2014-01,PWK,42.1208,-87.9047,17.869578256794753
2014-01,RAC,42.7611,-87.8136,16.471749347258484
2014-01,RZL,40.9479,-87.1826,18.662591240875912
2014-01,UES,43.041,-88.2371,11.092633228840125
2014-01,UGN,42.4222,-87.8679,15.943104631217839
2014-01,VPZ,41.454,-87.0071,15.548311688311689
2014-02,ARR,41.77,-88.48,15.019532814238042
2014-02,BUU,42.6907,-88.3046,11.964231738035265
2014-02,C09,41.4253,-88.4186,15.663716814159292
2014-02,DPA,41.9078,-88.2486,17.372026431718062
2014-02,ENW,42.595,-87.9381,17.12268558951965
2014-02,GYY,41.6163,-87.4128,19.761431095406362
2014-02,IGQ,41.5349,-87.5295,17.31113987058238
2014-02,IKK,41.0714,-87.8463,15.80800195407914
2014-02,JOT,41.5177,-88.1756,15.740541353383458
2014-02,LOT,41.6081,-88.0962,15.436316371681416
2014-02,MDW,41.786,-87.7524,20.161441860465118
2014-02,MGC,41.7033,-86.8212,19.924545454545456
2014-02,MKE,42.9472,-87.8967,17.71386046511628
2014-02,MWC,43.1104,-88.0344,14.03323076923077
2014-02,ORD,41.9875,-87.9319,19.687114093959732
2014-02,PPO,41.5725,-86.7345,16.477583624563156
2014-02,PWK,42.1208,-87.9047,19.204047904191615
2014-02,RAC,42.7611,-87.8136,17.710593220338982
2014-02,RZL,40.9479,-87.1826,18.115057528764382
2014-02,UES,43.041,-88.2371,12.830068337129841
2014-02,UGN,42.4222,-87.8679,17.332757111597374
2014-02,VPZ,41.454,-87.0071,17.75883417085427
2014-03,ARR,41.77,-88.48,28.948858638743456
2014-03,BUU,42.6907,-88.3046,26.117758775877586
2014-03,C09,41.4253,-88.4186,31.653815080789947
2014-03,DPA,41.9078,-88.2486,29.308085561497325
2014-03,ENW,42.595,-87.9381,28.636706915477497
2014-03,GYY,41.6163,-87.4128,32.38907467532468
2014-03,IGQ,41.5349,-87.5295,30.716648648648647
2014-03,IKK,41.0714,-87.8463,31.649753694581282
2014-03,JOT,41.5177,-88.1756,30.853149819494586
2014-03,LOT,41.6081,-88.0962,30.71266129032258
2014-03,MDW,41.786,-87.7524,31.389556541019957
2014-03,MGC,41.7033,-86.8212,30.558204895738893
2014-03,MKE,42.9472,-87.8967,28.576375838926175
2014-03,MWC,43.1104,-88.0344,26.73816075307748
2014-03,ORD,41.9875,-87.9319,30.36875
2014-03,PPO,41.5725,-86.7345,28.829685251798562
2014-03,PWK,42.1208,-87.9047,30.009318681318682
2014-03,RAC,42.7611,-87.8136,27.6280412371134
2014-03,RZL,40.9479,-87.1826,32.08181818181818
2014-03,UES,43.041,-88.2371,24.492682926829268
2014-03,UGN,42.4222,-87.8679,27.79340380549683
2014-03,VPZ,41.454,-87.0071,28.453664596273292
2014-04,ARR,41.77,-88.48,48.330366863905326
2014-04,BUU,42.6907,-88.3046,43.15253842571029
2014-04,C09,41.4253,-88.4186,49.02731891891892
2014-04,DPA,41.9078,-88.2486,47.95547169811321
2014-04,ENW,42.595,-87.9381,44.18889395667047
2014-04,GYY,41.6163,-87.4128,49.12357682619648
2014-04,IGQ,41.5349,-87.5295,48.29368715083799
2014-04,IKK,41.0714,-87.8463,51.49021803766105
2014-04,JOT,41.5177,-88.1756,49.435692158760894
2014-04,LOT,41.6081,-88.0962,49.054588665447895
2014-04,MDW,41.786,-87.7524,49.53574365175333
2014-04,MGC,41.7033,-86.8212,47.05538461538462
2014-04,MKE,42.9472,-87.8967,43.387093023255815
2014-04,MWC,43.1104,-88.0344,41.68617265087853
2014-04,ORD,41.9875,-87.9319,48.081493212669685
2014-04,OXI,41.3302,-86.6648,55.50902857142857
2014-04,PPO,41.5725,-86.7345,47.07696378830084
2014-04,PWK,42.1208,-87.9047,47.08758293838863
2014-04,RAC,42.7611,-87.8136,42.973973214285714
2014-04,RZL,40.9479,-87.1826,49.63582366589327
2014-04,UES,43.041,-88.2371,40.52403846153846
2014-04,UGN,42.4222,-87.8679,43.14434782608696
2014-04,VPZ,41.454,-87.0071,46.591875
2014-05,ARR,41.77,-88.48,61.00471760797342
2014-05,BUU,42.6907,-88.3046,57.070692124105015
2014-05,C09,41.4253,-88.4186,63.32831521739131
2014-05,DPA,41.9078,-88.2486,59.6391592920354
2014-05,ENW,42.595,-87.9381,57.45236902050114
2014-05,GYY,41.6163,-87.4128,59.81935643564356
2014-05,IGQ,41.5349,-87.5295,59.94097165991903
2014-05,IKK,41.0714,-87.8463,61.811261568436436
2014-05,JOT,41.5177,-88.1756,61.38575441776167
2014-05,LOT,41.6081,-88.0962,60.929927862939586
2014-05,MDW,41.786,-87.7524,62.89851590106007
2014-05,MGC,41.7033,-86.8212,58.321059721598566
2014-05,MKE,42.9472,-87.8967,56.03844727694091
2014-05,MWC,43.1104,-88.0344,53.78502202643172
2014-05,ORD,41.9875,-87.9319,60.531451612903226
2014-05,OXI,41.3302,-86.6648,61.084865350089764
2014-05,PPO,41.5725,-86.7345,59.233854447439356
2014-05,PWK,42.1208,-87.9047,60.06418655097614
2014-05,RAC,42.7611,-87.8136,55.53917721518987
2014-05,RZL,40.9479,-87.1826,62.17980813156692
2014-05,UES,43.041,-88.2371,52.876635514018695
2014-05,UGN,42.4222,-87.8679,56.29940724478595
2014-05,VPZ,41.454,-87.0071,59.5228078250863
